============================================================
  layers = 50
  regime = rich
  lr     = 0.01
  steps  = 20000
============================================================
Loading cached features: outputs/train_features.pt
Loading cached features: outputs/val_features.pt
Model: 50 layer(s), regime=rich
  First layer shape: (100, 2048)
  Initial effective rank: 97.60
Step 38/20000 | Val Acc 77.81% | Rank 97.60
Step 76/20000 | Val Acc 77.81% | Rank 97.60
Step 114/20000 | Val Acc 80.07% | Rank 97.61
Step 152/20000 | Val Acc 77.98% | Rank 97.61
Step 190/20000 | Val Acc 78.65% | Rank 97.61
Step 228/20000 | Val Acc 76.90% | Rank 97.61
Step 266/20000 | Val Acc 69.89% | Rank 97.61
Step 304/20000 | Val Acc 82.24% | Rank 97.60
Step 342/20000 | Val Acc 74.81% | Rank 97.60
Step 380/20000 | Val Acc 86.74% | Rank 97.60
Step 418/20000 | Val Acc 80.82% | Rank 97.59
Step 456/20000 | Val Acc 83.49% | Rank 97.57
Step 494/20000 | Val Acc 87.32% | Rank 97.55
Step 532/20000 | Val Acc 88.49% | Rank 97.51
Step 570/20000 | Val Acc 88.66% | Rank 97.47
Step 608/20000 | Val Acc 88.82% | Rank 97.42
Step 646/20000 | Val Acc 87.91% | Rank 97.38
Step 684/20000 | Val Acc 88.16% | Rank 97.30
Step 722/20000 | Val Acc 86.16% | Rank 97.21
Step 760/20000 | Val Acc 88.91% | Rank 97.16
Step 798/20000 | Val Acc 87.57% | Rank 97.09
Step 836/20000 | Val Acc 88.41% | Rank 97.04
Step 874/20000 | Val Acc 81.23% | Rank 96.96
Step 912/20000 | Val Acc 86.57% | Rank 96.90
Step 950/20000 | Val Acc 85.90% | Rank 96.87
Step 988/20000 | Val Acc 88.41% | Rank 96.82
Step 1026/20000 | Val Acc 87.66% | Rank 96.76
Step 1064/20000 | Val Acc 81.90% | Rank 96.71
Step 1102/20000 | Val Acc 89.49% | Rank 96.66
Step 1140/20000 | Val Acc 80.32% | Rank 96.59
Step 1178/20000 | Val Acc 89.07% | Rank 96.54
Step 1216/20000 | Val Acc 88.41% | Rank 96.46
Step 1254/20000 | Val Acc 85.49% | Rank 96.41
Step 1292/20000 | Val Acc 86.99% | Rank 96.36
Step 1330/20000 | Val Acc 89.91% | Rank 96.33
Step 1368/20000 | Val Acc 89.99% | Rank 96.29
Step 1406/20000 | Val Acc 89.49% | Rank 96.25
Step 1444/20000 | Val Acc 86.99% | Rank 96.18
Step 1482/20000 | Val Acc 88.24% | Rank 96.13
Step 1520/20000 | Val Acc 89.82% | Rank 96.09
Step 1558/20000 | Val Acc 88.32% | Rank 96.06
Step 1596/20000 | Val Acc 88.32% | Rank 96.04
Step 1634/20000 | Val Acc 87.57% | Rank 96.02
Step 1672/20000 | Val Acc 87.16% | Rank 96.00
Step 1710/20000 | Val Acc 87.49% | Rank 95.98
Step 1748/20000 | Val Acc 86.32% | Rank 95.95
Step 1786/20000 | Val Acc 86.24% | Rank 95.94
Step 1824/20000 | Val Acc 89.49% | Rank 95.90
Step 1862/20000 | Val Acc 86.74% | Rank 95.86
Step 1900/20000 | Val Acc 86.32% | Rank 95.86
Step 1938/20000 | Val Acc 86.41% | Rank 95.86
Step 1976/20000 | Val Acc 86.24% | Rank 95.86
Step 2014/20000 | Val Acc 86.16% | Rank 95.86
Step 2052/20000 | Val Acc 86.16% | Rank 95.86
Step 2090/20000 | Val Acc 86.16% | Rank 95.86
Step 2128/20000 | Val Acc 86.16% | Rank 95.86
Step 2166/20000 | Val Acc 86.16% | Rank 95.86
Step 2204/20000 | Val Acc 86.16% | Rank 95.86
